epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,3595.1,0.6408,0.39597,1.0465,0.90328,0.82663,0.87984,0.68791,1.17364,0.54079,1.01363,0.000105723,0.000105723,0.000105723
133,3622.48,0.67837,0.39621,1.0461,0.86945,0.86373,0.87879,0.68557,1.15883,0.54386,1.01184,9.95317e-05,9.95317e-05,9.95317e-05
134,3649.58,0.6463,0.40154,1.01109,0.88966,0.85536,0.88204,0.68729,1.1518,0.54778,1.03454,9.35358e-05,9.35358e-05,9.35358e-05
135,3676.56,0.6349,0.39578,1.02735,0.90311,0.85481,0.87963,0.68033,1.17105,0.5433,1.04181,8.77374e-05,8.77374e-05,8.77374e-05
136,3703.46,0.6441,0.39937,1.03367,0.9135,0.83883,0.87974,0.67995,1.16848,0.55314,1.03846,8.21388e-05,8.21388e-05,8.21388e-05
137,3730.38,0.64386,0.39261,1.01996,0.93491,0.83936,0.88135,0.67256,1.15316,0.52402,1.04515,7.67421e-05,7.67421e-05,7.67421e-05
138,3757.5,0.69773,0.40283,1.02294,0.9025,0.83883,0.87941,0.68104,1.13743,0.51877,1.02967,7.15495e-05,7.15495e-05,7.15495e-05
139,3784.46,0.64963,0.402,1.017,0.90976,0.83672,0.87848,0.67906,1.15275,0.54108,1.02396,6.6563e-05,6.6563e-05,6.6563e-05
140,3811.42,0.6445,0.40429,1.02428,0.88726,0.82955,0.87524,0.67451,1.15711,0.54086,1.02441,6.17844e-05,6.17844e-05,6.17844e-05
141,3838.35,0.60995,0.38398,1.03314,0.8916,0.82421,0.88251,0.67975,1.14697,0.52949,1.02474,5.72156e-05,5.72156e-05,5.72156e-05
142,3865.51,0.63103,0.38501,1.0182,0.90204,0.84372,0.88361,0.68087,1.14641,0.51513,1.04024,5.28583e-05,5.28583e-05,5.28583e-05
143,3892.47,0.64308,0.3807,1.03844,0.90321,0.84212,0.88438,0.68234,1.14705,0.50978,1.05511,4.87143e-05,4.87143e-05,4.87143e-05
144,3919.3,0.64417,0.39439,1.01519,0.86352,0.87828,0.88438,0.69283,1.14617,0.509,1.04598,4.47852e-05,4.47852e-05,4.47852e-05
145,3946.11,0.64283,0.38053,1.02073,0.87736,0.8546,0.88613,0.69008,1.14835,0.51144,1.03833,4.10724e-05,4.10724e-05,4.10724e-05
146,3975.59,0.88465,0.42466,0.88539,0.90654,0.85723,0.87999,0.68662,1.13871,0.50085,1.06757,3.75774e-05,3.75774e-05,3.75774e-05
147,4002.36,0.81265,0.39335,0.90161,0.89037,0.85201,0.87832,0.68932,1.11987,0.50326,1.06632,3.43016e-05,3.43016e-05,3.43016e-05
148,4029.55,0.85111,0.39744,0.88813,0.90915,0.83654,0.879,0.68663,1.13327,0.50578,1.05682,3.12461e-05,3.12461e-05,3.12461e-05
149,4057.73,0.85395,0.38796,0.8796,0.90858,0.83319,0.88148,0.6901,1.13079,0.50293,1.04817,2.84123e-05,2.84123e-05,2.84123e-05
150,4084.59,0.82522,0.37537,0.90184,0.90629,0.83881,0.88148,0.69831,1.12054,0.50249,1.04267,2.58011e-05,2.58011e-05,2.58011e-05
151,4111.52,0.85554,0.39232,0.87235,0.89724,0.83985,0.87999,0.69547,1.10581,0.49992,1.04218,2.34135e-05,2.34135e-05,2.34135e-05
152,4138.4,0.80238,0.36783,0.89401,0.89414,0.85315,0.8802,0.69529,1.1062,0.49817,1.03717,2.12506e-05,2.12506e-05,2.12506e-05
153,4165.26,0.78331,0.36811,0.90364,0.90242,0.84149,0.87988,0.69791,1.10678,0.50208,1.03536,1.93131e-05,1.93131e-05,1.93131e-05
154,4192.23,0.79808,0.3581,0.89722,0.89962,0.85068,0.88042,0.69608,1.10388,0.50337,1.03688,1.76018e-05,1.76018e-05,1.76018e-05
155,4219.17,0.83174,0.38193,0.89684,0.90877,0.84664,0.88125,0.69575,1.10287,0.50296,1.02915,1.61173e-05,1.61173e-05,1.61173e-05
156,4246.11,0.81314,0.37412,0.90191,0.91014,0.84549,0.88305,0.69703,1.10287,0.49941,1.02774,1.48603e-05,1.48603e-05,1.48603e-05
157,4273,0.81572,0.37344,0.87342,0.8989,0.85107,0.88397,0.69745,1.11269,0.50457,1.02503,1.38311e-05,1.38311e-05,1.38311e-05
158,4299.97,0.78174,0.35816,0.91307,0.89389,0.84329,0.88383,0.69265,1.12136,0.50851,1.02349,1.30302e-05,1.30302e-05,1.30302e-05
159,4326.96,0.78457,0.36644,0.88557,0.91025,0.83461,0.88474,0.69476,1.11701,0.50449,1.02625,1.2458e-05,1.2458e-05,1.2458e-05
160,4353.81,0.81613,0.39039,0.89129,0.88097,0.86992,0.88393,0.69495,1.10736,0.5003,1.02972,1.21145e-05,1.21145e-05,1.21145e-05
