epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,347.63,0.4047,5.04428,0.25175,0.40187,1.12932,0.99816,1,0.995,0.88799,0.93941,0.94118,0.96238,0.34139,0.63079,2.96116,0.34993,0.52492,1.06892,0.00124984,0.00124984,0.00124984
80,351.732,0.38241,4.66028,0.23256,0.37168,1.11953,0.99814,1,0.995,0.87832,0.91041,0.91176,0.89021,0.33689,0.59758,3.05256,0.34197,0.5172,0.99617,0.00121712,0.00121712,0.00121712
81,355.76,0.39231,4.84439,0.24705,0.38116,1.12478,0.99827,1,0.995,0.90207,0.96891,0.97059,0.97455,0.4139,0.5543,2.87391,0.33205,0.51011,0.92852,0.00118456,0.00118456,0.00118456
82,360.062,0.37235,4.73614,0.23727,0.37844,1.11106,0.99818,1,0.995,0.91453,0.93946,0.94118,0.92501,0.3556,0.5225,2.66497,0.34252,0.45409,0.8834,0.00115215,0.00115215,0.00115215
83,364.118,0.36303,4.52842,0.23733,0.37983,1.11355,0.9981,1,0.995,0.91171,0.93939,0.94118,0.93203,0.3504,0.50655,2.83198,0.33791,0.44719,0.86867,0.00111994,0.00111994,0.00111994
84,368.218,0.36607,4.7805,0.23743,0.36017,1.11006,0.99709,1,0.995,0.90591,0.96776,0.97059,0.97061,0.40585,0.53154,2.77314,0.33109,0.45583,0.89266,0.00108791,0.00108791,0.00108791
85,372.362,0.36876,4.75741,0.23517,0.36238,1.10819,0.99772,1,0.995,0.90258,0.96837,0.97059,0.95939,0.39045,0.5819,2.58885,0.3592,0.45591,0.91144,0.00105611,0.00105611,0.00105611
86,376.421,0.36743,4.42859,0.22366,0.37955,1.11008,0.99837,1,0.995,0.90049,0.96901,0.97059,0.97471,0.35557,0.54279,2.76591,0.34462,0.44548,0.90788,0.00102454,0.00102454,0.00102454
87,381.014,0.34987,4.72937,0.23112,0.34689,1.10071,0.99837,1,0.995,0.90632,0.91028,0.91176,0.89722,0.37761,0.52927,2.6355,0.36161,0.45848,0.85543,0.000993208,0.000993208,0.000993208
88,387.441,0.36357,4.51746,0.22866,0.37717,1.12739,0.99836,1,0.995,0.90094,0.99836,1,0.995,0.36948,0.52926,2.68718,0.33816,0.46968,0.87016,0.000962144,0.000962144,0.000962144
89,391.58,0.35652,4.50246,0.23093,0.35687,1.06896,0.99825,1,0.995,0.88343,0.96889,0.97059,0.97498,0.37936,0.57201,2.46468,0.31429,0.45614,0.93845,0.000931358,0.000931358,0.000931358
90,395.584,0.37072,4.60666,0.22719,0.3867,1.10775,0.99752,1,0.995,0.8998,0.96818,0.97059,0.96383,0.40027,0.52264,2.96852,0.32969,0.43992,0.91106,0.000900866,0.000900866,0.000900866
91,399.7,0.36689,4.35913,0.22314,0.38383,1.09762,0.99787,1,0.995,0.89672,0.99787,1,0.995,0.3901,0.52025,2.58908,0.31073,0.42265,0.89403,0.000870683,0.000870683,0.000870683
92,403.788,0.39241,4.30655,0.21863,0.37209,1.12957,0.99824,1,0.995,0.91984,0.91016,0.91176,0.86287,0.307,0.47958,2.94225,0.32038,0.40068,0.88179,0.000840824,0.000840824,0.000840824
93,407.774,0.36373,4.33793,0.22937,0.3576,1.09862,0.99675,1,0.995,0.91009,0.93812,0.94118,0.91222,0.37257,0.51391,2.56625,0.31824,0.44891,0.91265,0.000811305,0.000811305,0.000811305
94,411.794,0.35979,4.3098,0.21577,0.36773,1.09802,0.99761,1,0.995,0.89738,0.94282,0.96988,0.94432,0.35745,0.57433,2.95278,0.34664,0.49057,0.93228,0.00078214,0.00078214,0.00078214
95,415.824,0.37313,4.29716,0.22317,0.36756,1.08671,0.99744,1,0.995,0.8938,0.99744,1,0.995,0.42756,0.58359,2.51248,0.34197,0.4787,0.91708,0.000753345,0.000753345,0.000753345
96,420.118,0.37319,4.18813,0.22184,0.36671,1.11528,0.99755,1,0.995,0.92345,0.99755,1,0.995,0.38391,0.49889,2.69637,0.34206,0.43133,0.8585,0.000724932,0.000724932,0.000724932
97,424.373,0.36653,4.07325,0.22704,0.35929,1.11807,0.9983,1,0.995,0.91006,0.96894,0.97059,0.9659,0.39988,0.46999,2.34225,0.32627,0.42293,0.8301,0.000696918,0.000696918,0.000696918
98,428.448,0.35482,4.05783,0.2167,0.34818,1.08571,0.99815,1,0.995,0.89714,0.96879,0.97059,0.96251,0.43518,0.50372,2.35466,0.32133,0.46261,0.86715,0.000669316,0.000669316,0.000669316
99,432.684,0.35371,3.89136,0.21512,0.35426,1.09209,0.99823,1,0.995,0.89495,0.96887,0.97059,0.96183,0.3669,0.53984,2.54216,0.31597,0.47976,0.86731,0.000642139,0.000642139,0.000642139
100,436.758,0.35322,3.9082,0.21236,0.33679,1.09801,0.99847,1,0.995,0.91536,0.96906,0.97059,0.95896,0.37945,0.47668,2.4632,0.30753,0.4246,0.80974,0.000615402,0.000615402,0.000615402
101,440.894,0.3483,4.00198,0.20022,0.35579,1.08523,0.99837,1,0.995,0.9151,0.99837,1,0.995,0.46342,0.49525,2.28213,0.30794,0.44678,0.81802,0.000589118,0.000589118,0.000589118
102,445.065,0.33908,3.93587,0.19904,0.35924,1.07518,0.99842,1,0.995,0.92026,0.96905,0.97059,0.95681,0.4192,0.46462,2.33729,0.31098,0.40915,0.81023,0.0005633,0.0005633,0.0005633
103,449.002,0.34666,4.12628,0.21287,0.34476,1.10282,0.99833,1,0.995,0.92009,0.96897,0.97059,0.96359,0.38299,0.47057,2.45994,0.32061,0.42559,0.81095,0.000537961,0.000537961,0.000537961
104,452.945,0.34137,4.11527,0.20973,0.34941,1.08263,0.99834,1,0.995,0.90498,0.99834,1,0.995,0.48422,0.4995,2.10385,0.30961,0.41141,0.83565,0.000513114,0.000513114,0.000513114
105,457.376,0.35505,3.72791,0.20482,0.33724,1.09824,0.99839,1,0.995,0.91572,0.99839,1,0.995,0.45732,0.48317,2.19763,0.30114,0.39057,0.85088,0.000488772,0.000488772,0.000488772
106,461.511,0.33079,3.87469,0.21042,0.33636,1.08383,0.9984,1,0.995,0.91641,0.9984,1,0.995,0.44131,0.46007,2.49976,0.29911,0.39841,0.8358,0.000464946,0.000464946,0.000464946
