epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,454.629,0.56979,0.7705,0.47667,1.00233,0,0.97208,0.93139,0.96361,0.83599,0.97738,0.93542,0.97493,0.8746,0.67567,0.93333,0.51651,0.96553,0,0.00164491,0.00164491,0.00164491
62,460.926,0.55052,0.74105,0.46531,0.99272,0,0.97743,0.93632,0.96968,0.85577,0.97743,0.93632,0.97452,0.85889,0.66661,0.93816,0.50333,0.95876,0,0.00162018,0.00162018,0.00162018
63,467.332,0.54201,0.71597,0.46254,0.98689,0,0.98558,0.93112,0.97151,0.85875,0.98558,0.93112,0.97621,0.83574,0.64196,0.9798,0.51847,0.93684,0,0.00159529,0.00159529,0.00159529
64,474.453,0.54002,0.70635,0.45006,0.97893,0,0.97307,0.94312,0.9754,0.85856,0.96276,0.9425,0.97324,0.85825,0.64953,0.91371,0.57836,0.95764,0,0.00157025,0.00157025,0.00157025
65,482.992,0.52393,0.69987,0.44786,0.97222,0,0.97102,0.9352,0.96866,0.86455,0.95518,0.9536,0.97393,0.87101,0.62702,0.86318,0.54547,0.94166,0,0.00154508,0.00154508,0.00154508
66,489.293,0.5357,0.73839,0.45044,0.98067,0,0.98056,0.9425,0.96984,0.86512,0.98056,0.9425,0.9747,0.87436,0.64781,0.9207,0.50065,0.95632,0,0.00151979,0.00151979,0.00151979
67,495.549,0.53916,0.6934,0.45241,0.98962,0,0.96945,0.94376,0.96974,0.86123,0.96945,0.94376,0.97387,0.86713,0.63197,0.90841,0.49579,0.96463,0,0.00149438,0.00149438,0.00149438
68,501.678,0.54611,0.75975,0.46247,0.99485,0,0.97433,0.95313,0.97049,0.85172,0.97939,0.96647,0.97958,0.88212,0.64124,0.79658,0.50825,0.95287,0,0.00146888,0.00146888,0.00146888
69,507.958,0.54586,0.74541,0.45329,0.9926,0,0.98413,0.94313,0.97115,0.82649,0.98413,0.94313,0.97467,0.86712,0.71755,0.90404,0.56576,0.94923,0,0.00144328,0.00144328,0.00144328
70,514.204,0.52385,0.65444,0.42727,0.96966,0,0.96461,0.95127,0.96864,0.86286,0.96204,0.95278,0.97293,0.87449,0.61733,0.8286,0.51602,0.92633,0,0.0014176,0.0014176,0.0014176
71,521.543,0.51634,0.70147,0.42529,0.96117,0,0.9785,0.95497,0.97534,0.87274,0.97185,0.94617,0.97084,0.84843,0.59705,0.92762,0.45742,0.92357,0,0.00139185,0.00139185,0.00139185
72,528.017,0.50066,0.66327,0.42574,0.96299,0,0.98543,0.9637,0.98439,0.87458,0.97459,0.95312,0.97675,0.85704,0.61912,0.93056,0.47612,0.93593,0,0.00136605,0.00136605,0.00136605
73,534.34,0.52143,0.71089,0.44195,0.97518,0,0.98019,0.95512,0.97402,0.86331,0.97079,0.94586,0.97154,0.85267,0.63518,0.96249,0.51984,0.94426,0,0.0013402,0.0013402,0.0013402
74,540.739,0.51038,0.70754,0.43323,0.97488,0,0.97602,0.95565,0.96971,0.86353,0.97504,0.95614,0.97422,0.86643,0.6048,0.92123,0.48258,0.94306,0,0.00131432,0.00131432,0.00131432
75,547.089,0.51008,0.67996,0.42353,0.97157,0,0.98201,0.96143,0.97774,0.88419,0.97261,0.95217,0.97166,0.86011,0.57478,0.85697,0.46096,0.91239,0,0.00128842,0.00128842,0.00128842
76,553.125,0.5094,0.6895,0.43241,0.96983,0,0.96393,0.97278,0.97869,0.87306,0.95056,0.94666,0.95739,0.84971,0.57472,0.87277,0.45746,0.91201,0,0.0012625,0.0012625,0.0012625
77,559.759,0.50935,0.6867,0.41936,0.97543,0,0.97232,0.96874,0.97714,0.85744,0.96866,0.94688,0.96876,0.85892,0.62888,0.87391,0.54667,0.92077,0,0.00123658,0.00123658,0.00123658
78,565.825,0.51978,0.67448,0.42761,0.96935,0,0.93612,0.9554,0.9785,0.86302,0.93166,0.94847,0.97533,0.86624,0.6079,0.88034,0.47328,0.93538,0,0.00121068,0.00121068,0.00121068
79,571.767,0.51563,0.67863,0.43033,0.96831,0,0.97536,0.96803,0.9782,0.87335,0.98736,0.9415,0.97356,0.84607,0.60763,0.98527,0.48032,0.94212,0,0.0011848,0.0011848,0.0011848
80,577.681,0.5034,0.68649,0.43104,0.95357,0,0.96734,0.96743,0.97648,0.88173,0.98249,0.93969,0.97558,0.87999,0.58591,0.90382,0.46981,0.91417,0,0.00115895,0.00115895,0.00115895
81,583.661,0.49324,0.65705,0.41315,0.96219,0,0.97423,0.96607,0.9791,0.88303,0.98703,0.9466,0.97376,0.87095,0.61384,0.87693,0.45265,0.90994,0,0.00113315,0.00113315,0.00113315
82,590.372,0.47803,0.62855,0.4023,0.95481,0,0.96124,0.98091,0.98714,0.8751,0.97667,0.94101,0.9727,0.87622,0.60511,0.89224,0.44433,0.92584,0,0.0011074,0.0011074,0.0011074
83,596.385,0.49557,0.7044,0.40804,0.95229,0,0.98343,0.97217,0.98329,0.88078,0.98115,0.96419,0.9791,0.89185,0.59988,0.83425,0.44349,0.89835,0,0.00108172,0.00108172,0.00108172
84,602.387,0.50147,0.66536,0.42068,0.95703,0,0.97716,0.9723,0.98297,0.88025,0.97143,0.96442,0.97912,0.87255,0.59137,0.81709,0.42569,0.91695,0,0.00105612,0.00105612,0.00105612
85,608.741,0.47482,0.59145,0.39511,0.9423,0,0.9722,0.95973,0.98119,0.88413,0.9722,0.95973,0.9809,0.88106,0.59961,0.85016,0.43511,0.92425,0,0.00103062,0.00103062,0.00103062
86,616.029,0.45988,0.61456,0.39704,0.94165,0,0.97364,0.96839,0.98481,0.89143,0.98158,0.93971,0.97942,0.88152,0.59636,0.88847,0.43233,0.92291,0,0.00100521,0.00100521,0.00100521
87,624.295,0.468,0.59712,0.3947,0.9313,0,0.94811,0.97607,0.98352,0.89685,0.96937,0.96442,0.9787,0.87077,0.57621,0.87194,0.42281,0.91973,0,0.000979916,0.000979916,0.000979916
88,631.55,0.44932,0.59259,0.38061,0.93668,0,0.96906,0.97032,0.98344,0.89633,0.9658,0.96442,0.97639,0.87623,0.56275,0.90296,0.40675,0.90732,0,0.000954746,0.000954746,0.000954746
89,637.529,0.45346,0.61121,0.37584,0.94438,0,0.98271,0.94929,0.97791,0.8728,0.97469,0.94103,0.96621,0.87668,0.59071,0.94131,0.41414,0.92438,0,0.000929712,0.000929712,0.000929712
90,644.229,0.45386,0.57864,0.37371,0.93546,0,0.97934,0.94576,0.98012,0.88363,0.96689,0.95579,0.97394,0.88389,0.56716,0.85974,0.44636,0.9013,0,0.000904823,0.000904823,0.000904823
